,earphone,rating_star,total_reviews,old_price,new_price,website_link
312,"Xiaomi Wired in-Ear Earphones with Mic, Ultra Deep Bass & Metal Sound Chamber (Black)",4.1 / 5 ,"102,310",₹999,₹396,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTozMTYzOTk3NDYwMjE2NjA6MTY5ODA5MjAzNTpzcF9tdGY6MjAwNTkyNjQ2ODczOTg6OjA6Og&url=%2FMi-Earphones-Basic-Mic-Black%2Fdp%2FB07CD2BN46%2Fref%3Dsr_1_64_sspa%3Fcrid%3D2KR2PU76C0SVW%26keywords%3Dearphones%2Bwired%26nav_sdd%3Daps%26qid%3D1698092035%26refinements%3Dp_36%253A1318503031%26rnid%3D1318502031%26s%3Delectronics%26sprefix%3Dearphones%2Bwired%26sr%3D1-64-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
313,"Ambrane Wired in Ear Earphones with in-line Mic for Clear Calling, 14mm Dynamic Drivers for BoostedBass, 3.5mm Jack, Multi-Functional Controller (Stringz 38 Lite, Green)",3.8 / 5 ,"1,445",₹449,₹179,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTozMTYzOTk3NDYwMjE2NjA6MTY5ODA5MjAzNTpzcF9tdGY6MjAxMTIxNjY4MjE3OTg6OjA6Og&url=%2FAmbrane-BoostedBass-Multi-Functional-Stringz-Lite%2Fdp%2FB0BM3LTJMN%2Fref%3Dsr_1_65_sspa%3Fcrid%3D2KR2PU76C0SVW%26keywords%3Dearphones%2Bwired%26nav_sdd%3Daps%26qid%3D1698092035%26refinements%3Dp_36%253A1318503031%26rnid%3D1318502031%26s%3Delectronics%26sprefix%3Dearphones%2Bwired%26sr%3D1-65-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
314,"Redmi Buds 4 Active - Bass Black, 12mm Drivers(Premium Sound Quality), Up to 30 Hours Battery Life, Google Fast Pair, IPX4, Bluetooth 5.3, ENC, Up to 60ms Low Latency Mode, App Support",3.6 / 5 ,"24,778","₹2,999",₹999,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTozMTYzOTk3NDYwMjE2NjA6MTY5ODA5MjAzNTpzcF9tdGY6MzAwMDAzMDgzNTk0MTMyOjowOjo&url=%2FRedmi-Buds-Active-Drivers-Bluetooth%2Fdp%2FB0C69PTC6M%2Fref%3Dsr_1_66_sspa%3Fcrid%3D2KR2PU76C0SVW%26keywords%3Dearphones%2Bwired%26nav_sdd%3Daps%26qid%3D1698092035%26refinements%3Dp_36%253A1318503031%26rnid%3D1318502031%26s%3Delectronics%26sprefix%3Dearphones%2Bwired%26sr%3D1-66-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
315,realme Buds 2 Neo Wired in Ear Earphones with Mic (Black),4.3 / 5 ,"163,111",₹599,₹499,https://www.amazon.in//realme-Buds-Wired-Earphones-Black/dp/B097KM3Z16/ref=sr_1_67?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092035&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-67
316,"Portronics Conch Beta Wired in Ear Earphones with Mic, 1.2m Tangle Free Cable, in-Line Mic, Noise Isolation, 3.5mm Aux Port and High Bass, for All Android & iOS Devices(Black)",4.0 / 5 ,"2,111",₹599,₹249,https://www.amazon.in//Portronics-Earphone-Isolation-Android-Devices/dp/B082XBJLYY/ref=sr_1_68?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092035&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-68
317,"Xiaomi Wired in-Ear Earphones with Mic, Ultra Deep Bass & Metal Sound Chamber (Blue)",4.1 / 5 ,"102,310",₹599,₹396,https://www.amazon.in//Mi-Earphone-Basic-Ultra-deep/dp/B07QJYB8BC/ref=sr_1_69?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092035&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-69
318,"ZEBRONICS Zeb-BRO PRO in Ear Wired Stereo Earphones with Mic, 3.5mm Audio Input Jack, 10mm Drivers, in-Line Mic, 1.2 Metre Cable (Green)",3.5 / 5 ,"40,005",₹449,₹169,https://www.amazon.in//Zebronics-Zeb-BRO-PRO-Earphones-Green/dp/B08V8J16RK/ref=sr_1_70?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092035&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-70
319,"Xiaomi Wired in-Ear Earphones with Mic, Ultra Deep Bass & Metal Sound Chamber (Red)",4.1 / 5 ,"102,310",₹999,₹396,https://www.amazon.in//Xiaomi-Wired-Earphones-Ultra-Chamber/dp/B0BW4B7YZH/ref=sr_1_71?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092035&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-71
320,boAt Bassheads 102 Wired in Ear Earphones with Mic (Mint Orange),4.1 / 5 ,"82,210","₹1,290",₹399,https://www.amazon.in//Boat-Bassheads-102-Earphones-Orange/dp/B08MSXS85Z/ref=sr_1_72?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092035&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-72
321,"JBL Endurance Run 2, Sports in Ear Wired Earphones with Mic, Pure Bass, Sweatproof, Flexsoft eartips, Magnetic Earbuds, Fliphook & TwistLock Technology with Voice Assistant Support for Mobiles (Black)",4.2 / 5 ,"17,628","₹1,799",₹998,https://www.amazon.in//JBL-Endurance-Earphones-Sweatproof-Technology/dp/B0B96HCWZC/ref=sr_1_73?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092035&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-73
322,"JBL C50HI, Wired in Ear Headphones with Mic, One Button Multi-Function Remote, Lightweight & Comfortable fit (Blue)",3.9 / 5 ,"104,260",₹999,₹449,https://www.amazon.in//JBL-C50HI-Ear-Headphones-Blue/dp/B07JQKR35P/ref=sr_1_74?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092035&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-74
323,"Kratos Thump Wired Earphones, Powerful Bass, HD Sound Quality Earphones, Tangle Free Cable, Comfortable in Ear Fit, with Mic 3.5 mm Jack - Black",3.2 / 5 ,"4,087",₹599,₹99,https://www.amazon.in//Kratos-Earphones-Powerful-Quality-Comfortable/dp/B09TWCT9JR/ref=sr_1_75?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092035&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-75
324,boAt Bassheads 162 in Ear Wired Earphones with Mic(Raging Red),4.1 / 5 ,"37,171","₹1,299",₹399,https://www.amazon.in//BassHeads-162-Secure-Braided-Earphones/dp/B07KY3L8CR/ref=sr_1_76?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092035&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-76
325,"JGD 3.5mm Stereo Wired in Ear Earphone with Microphone for Calling, Volume Control, Stylish eartip,1.2 Meter Durable Cable and Lightweight Design",4.1 / 5 ,11,₹699,₹149,https://www.amazon.in//JGD-Earphone-Microphone-Calling-Lightweight/dp/B0CH6TD2DP/ref=sr_1_77?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092035&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-77
326,ZEBRONICS Zeb-Tulip Wired in Ear Earphone with Mic (Black),3.4 / 5 ,"1,880",₹459,₹129,https://www.amazon.in//Zebronics-Zeb-Tulip-Earphone-Drivers-Black/dp/B08BY6QVC1/ref=sr_1_78?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092035&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-78
327,"ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible(Green)",3.5 / 5 ,"40,005",₹399,₹119,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTozMTYzOTk3NDYwMjE2NjA6MTY5ODA5MjAzNTpzcF9idGY6MjAwNDIxMjM0OTE4OTg6OjA6Og&url=%2FZEBRONICS-Zeb-Bro-Earphones-Compatible-Green%2Fdp%2FB09R24JBYV%2Fref%3Dsr_1_79_sspa%3Fcrid%3D2KR2PU76C0SVW%26keywords%3Dearphones%2Bwired%26nav_sdd%3Daps%26qid%3D1698092035%26refinements%3Dp_36%253A1318503031%26rnid%3D1318502031%26s%3Delectronics%26sprefix%3Dearphones%2Bwired%26sr%3D1-79-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
328,"ZEBRONICS Yoga N3 with 46 Hours Backup,Bluetooth V5.2 Wireless Neckband,Enc Calling,Gaming Mode (Upto 50Ms),Voice Assistant,Dual Pairing,Splash Proof&Type C (Blue),in-Ear",3.6 / 5 ,369,"₹3,499",₹949,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTozMTYzOTk3NDYwMjE2NjA6MTY5ODA5MjAzNTpzcF9idGY6MzAwMDY5NDYwMjExNDMyOjowOjo&url=%2FZEBRONICS-Yoga-N3-Bluetooth-Assistant%2Fdp%2FB0BGRTXM19%2Fref%3Dsr_1_80_sspa%3Fcrid%3D2KR2PU76C0SVW%26keywords%3Dearphones%2Bwired%26nav_sdd%3Daps%26qid%3D1698092035%26refinements%3Dp_36%253A1318503031%26rnid%3D1318502031%26s%3Delectronics%26sprefix%3Dearphones%2Bwired%26sr%3D1-80-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
329,Z6 Bluetooth Headset Magnet Wireless Stereo Earphones Bluetooth V4.1 for Samsung Vivo Oppo and iPhone with Mic Noise Cancelling Headsets Compatible with All Android Smartphones (Assorted Colour),NaN,NaN,₹899,₹99,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTozMTYzOTk3NDYwMjE2NjA6MTY5ODA5MjAzNTpzcF9idGY6MzAwMDc4MTI4NzQxMjMyOjowOjo&url=%2FBluetooth-Earphones-Cancelling-Compatible-Smartphones%2Fdp%2FB0CLKTKDRP%2Fref%3Dsr_1_81_sspa%3Fcrid%3D2KR2PU76C0SVW%26keywords%3Dearphones%2Bwired%26nav_sdd%3Daps%26qid%3D1698092035%26refinements%3Dp_36%253A1318503031%26rnid%3D1318502031%26s%3Delectronics%26sprefix%3Dearphones%2Bwired%26sr%3D1-81-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
