,Title,Release Year,Genres,Rating,Votes,Story
154,Bhagwan Bharose,2023,"Comedy, Drama",7.3,295,"A story about two young, impressionable kids whose ideas about faith are constantly questioned and changed as their little world expands and takes into its fold, their country's fast-changing socio-political landscape."
155,Highway,I) (2014,"Crime, Drama, Romance",7.6,"29,991
| Gross","Right before her wedding, a young woman finds herself abducted and held for ransom. As the initial days pass, she begins to develop a strange bond with her kidnapper."
156,Raat Akeli Hai,2020,"Crime, Drama, Mystery",7.2,"19,271",The film follows a small town cop who is summoned to investigate the death of a politician which gets complicated by the victim's secretive family and his own conflicted heart.
157,Lust Stories,2018,"Drama, Romance",6.4,"12,784","Four short films by four of India's biggest directors exploring love, sex and relationships in modern India."
158,Fan,I) (2016,"Action, Drama, Thriller",6.9,"48,367
| Gross",Gaurav's world revolves around the superstar Aryan Khanna. What happens when his passion turns into a dangerous obsession that crosses the fine line?
159,Welcome to the Jungle,2024,"Action, Adventure, Comedy",NaN,NaN,Police officers Jay Bakshi and Sandhya have been given task to track down notorious criminal Raj Solanki. Things take an unexpected turn when JaY finds out that Raj plays a significant role in his life.
160,Yodha,2023,"Action, Drama, Thriller",NaN,NaN,An Aeroplane hijack where a soldier helps the passenger and fight against the terrorist. But the damage to the flight engine made it very tough to survive the situation.
161,Agneepath,2012,"Action, Crime, Drama",6.9,"25,943
| Gross",A young boy's father is lynched before his eyes; fifteen years later he returns home for revenge.
162,Padmaavat,2018,"Drama, History, Romance",7.0,"35,602
| Gross","Set in medieval Rajasthan, Queen Padmavati is married to a noble king and they live in a prosperous fortress with their subjects until an ambitious Sultan hears of Padmavati's beauty and forms an obsessive love for the Queen of Mewar."
163,Doctor G,2022,"Comedy, Drama",6.6,"17,914","Uday Gupta finds himself as the lone male resident in the Gynaecology department. His reluctance leads to chaos, confusion, comedy and eventually, great camaraderie with his fellow classmates."
164,Bhediya,2022,"Comedy, Fantasy, Horror",6.8,"23,362","Set in the forests of Arunachal, Bhediya is a story of Bhaskar, a man who gets bitten by a wolf, and begins to transform into the creature. As Bhaskar and his buddies try to find answers, a bunch of twists, turns, and laughs ensue."
165,Chennai Express,2013,"Action, Comedy, Drama",6.1,"60,734
| Gross",A man travelling to Rameshwaram via Chennai express in order to immerse his late grandfather's ashes finds himself in trouble after helping a don's daughter and her cousins board the train.
166,Bheed,2023,"Drama, History",6.7,"11,434",The toughest times people had to face just to reach their homes.
167,Bang Bang,I) (2014,"Action, Adventure, Comedy",5.6,"25,452
| Gross","A young bank receptionist gets mixed up with Rajveer Nanda, a man who has a mysterious background."
168,Kill,I) (2023,"Action, Adventure, Drama",7.6,72,Follows a passenger on a train to New Delhi. The train soon becomes a combat battleground as a pair of commandos face an army of invading bandits.
169,Badhaai Do,2022,"Comedy, Crime, Drama",7.0,"20,518",Shardul Thakur Flaglot and Suman Singh enter into a marriage of convenience but chaos ensues when her unhinged girlfriend comes to stay with them.
170,Pink,III) (2016,"Crime, Drama, Thriller",8.1,"47,138
| Gross","When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names."
171,12th Fail,2023,Drama,NaN,NaN,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.
172,Mohabbatein,2000,"Drama, Musical, Romance",7.0,"32,119","A film about the battle between love and fear, between two stubborn men and their opposing beliefs and the outcome of the love stories of 3 couples."
173,Qala,2022,"Drama, Music",7.2,"6,956","Haunted by her past, a talented singer with a rising career copes with the pressure of success, a mother's disdain and the voices of doubt within her."
174,Kal Ho Naa Ho,2003,"Comedy, Drama, Musical",7.9,"73,296
| Gross","Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her."
175,Mimamsa,2022,Thriller,3.6,93,"The backdrop of the mystical city of Bhopal, the capital of Madhya Pradesh- but also a city that conceals many shadows in its ancient walls."
176,Sir,I) (2018,"Drama, Romance",7.7,"8,253","A prosperous young Indian man falls in love with his servant, a widow with the dream of becoming a fashion designer."
177,Mumbaikar,2023,"Action, Drama, Thriller",4.8,653,"The story is based on the life of people at Mumbai which includes their happiness, drama, fun, and romance which interlink their lives."
178,Stree,2018,"Comedy, Horror",7.5,"37,187","In the small town of Chanderi, the menfolk live in fear of an evil spirit named ""Stree"" who abducts men in the night. Based on the urban legend of ""Nale Ba"" that went viral in Karnataka in the 1990s."
179,Dil Dhadakne Do,2015,"Comedy, Drama, Romance",7.0,"19,254",The Mehra family must contemplate over their way of living and their love lives while on a cruise celebrating their 30th wedding anniversary.
180,Kabir Singh,2019,"Action, Drama, Romance",7.0,"37,321","An exalted but short-fused surgeon plunges into a spiral of drugs, alcohol and rage after his intense relationship with his girlfriend turbulently ends."
181,Guthlee Ladoo,2023,Drama,7.3,129,"Guthlee, son of a poor sweeper, has a dream - to go to school. But the obstacle is his caste. A headmaster is sympathetic to him but powerless against caste discrimination. When they develop an unspoken bond, Guthlee's dream sees hope."
182,Kuttey,2023,"Action, Comedy, Crime",5.5,"10,411","A van carrying crores of cash. One rainy night in the outskirts of Mumbai. Unaware of each other, three stray gangs cross paths on the hunt. Unfortunately, all of them have the same plan. Will they bite the bone or will they lose to greed?"
183,Article 15,2019,"Crime, Drama, Mystery",8.1,"35,869","In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination."
184,Rab Ne Bana Di Jodi,2008,"Comedy, Drama, Music",7.2,"52,044
| Gross","A breathtaking, goose flesh igniting, awe inspiring love journey of an ordinary man Suri and his 'total opposite' love Taani."
185,Ghost Stories,2020,"Horror, Thriller",4.4,"5,754","The winning team of ""Lust Stories"" reunites to tell some spine-chilling tales. ""Ghost Stories"" is a 2020 Indian anthology horror film consisting of four short film segments."
186,Chhichhore,2019,"Comedy, Drama, Romance",8.3,"60,333
| Gross","A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers."
187,Goodbye,I) (2022,"Comedy, Drama, Family",6.8,"9,592",A heartwarming story of the Bhalla family that depicts their journey of grief and self-discovery after they suffer the loss of their loved one.
188,Prem Ki Shaadi,2024,"Drama, Romance",NaN,NaN,Add a Plot
189,October,II) (2018,"Drama, Romance",7.5,"17,134",A group of interns are going through the usual grind when suddenly an accident changes their lives. The protagonist can't get let go of it and becomes obsessed with it. What does it all lead to? Is it love or something else?
190,Devdas,I) (2002,"Drama, Musical, Romance",7.5,"45,192
| Gross","After his wealthy family prohibits him from marrying the woman he is in love with, Devdas Mukherjee's life spirals further and further out of control as he takes up alcohol and a life of vice to numb the pain."
191,Main Hoon Na,2004,"Action, Comedy, Drama",7.0,"38,925
| Gross","An army major goes undercover as a college student. His mission is both professional and personal: to protect his general's daughter from a radical militant, and to find his estranged half-brother."
192,Dilwale,2015,"Action, Comedy, Drama",5.0,"37,270
| Gross","The siblings of two estranged lovers fall for each other, unaware of the violent past that drove them apart."
193,Pihu,2016,"Drama, Thriller",6.7,"2,823","A two year old must fend for herself when her mother suddenly passes by away while her father is gone for a conference, leaving her prone to danger."
194,Delhi Belly,2011,"Action, Comedy, Crime",7.5,"31,456
| Gross",Three struggling room-mates unknowingly become potential prey of a ruthless gangster.
195,Mili,2022,"Drama, Thriller",6.7,"10,754",Janhvi Kapoor as a woman stuck in a freezer fighting to stay alive. 'Mili' is the official Hindi remake of the Malayalam thriller 'Helen'.
196,Pushpa: The Rule - Part 2,2024,"Action, Crime, Drama",NaN,NaN,The Clash Continues as Pushpa and Bhanwar Singh continue their rivalry in this epic c onclusion to the two-parted series.
197,Sultan,2016,"Action, Drama, Romance",7.0,"50,169
| Gross","Sultan is a classic underdog tale about a wrestler's journey, looking for a comeback by defeating all odds."
198,Ugly,2013,"Crime, Drama, Mystery",7.9,"22,872",The case of a missing girl takes us through a journey of human greed and brushes upon the egos and repressed emotions of the characters.
199,English Vinglish,2012,"Comedy, Drama, Family",7.8,"38,151
| Gross","A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English."
