,Title,Release Year,Genres,Rating,Votes,Story
34,Chandramukhi 2,2023,"Comedy, Drama, Horror",3.2,"1,799","A wealthy family faces numerous problems and reunites with their long-lost relatives to pray to their deity for solutions, unaware it will reawaken the feud between a classical dancer, Chandramukhi and Vettaiyan Raja from centuries ago."
35,Like Stars on Earth,2007,"Drama, Family",8.3,"202,256
| Gross","An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
36,Ghost,IV) (2023,"Action, Thriller",8.4,"3,910",A Group of some people hijacked the jail in the city and demanding the release of ghost or elsewhere all the criminals will be set free.
37,Kushi,2023,"Comedy, Drama, Romance",5.5,"6,636","Raised in an atheist household, a young man falls in love with the daughter of his father's arch-rival, a devout Hindu leader."
38,Drishyam 2,2022,"Crime, Drama, Mystery",8.2,"40,970",A gripping tale of an investigation and a family which is threatened by it. Will Vijay Salgaonkar be able to protect his family this time?
39,Fighter,2024,"Action, Adventure, Thriller",NaN,NaN,"FIGHTER is India's first aerial action film releasing in theaters on 25th January, 2024."
40,Gangs of Wasseypur,2012,"Action, Comedy, Crime",8.2,"101,195","A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations."
41,PK,2014,"Comedy, Drama, Sci-Fi",8.1,"196,502
| Gross",An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of there religious views on there people.
42,The Hundred-Foot Journey,2014,"Comedy, Drama",7.3,"86,330
| Gross",The Kadam family leaves India for France where they open a restaurant directly across the road from Madame Mallory's Michelin-starred eatery.
43,Tumse Na Ho Payega,2023,Comedy,7.7,935,"In a hilarious turn of events, Gaurav and his friends rediscover themselves when they decide to follow their hearts and defy the expectations of society."
44,Iraivan,2023,"Action, Crime, Drama",5.1,920,"A city lives in fear of a psychotic killer, and confidence in the police wanes. Arjun and Andrew finally arrest the killer, but he escapes and chaos reigns again."
45,Freddy,2022,"Drama, Mystery, Romance",7.4,"32,871",The lines between love and obsession blur in this romantic thriller packed with unpredictable twists and sharp turns.
46,Kabhi Khushi Kabhie Gham...,2001,"Drama, Musical, Romance",7.4,"53,737
| Gross","After marrying a poor woman, rich Rahul is disowned by his father and moves to London to build a new life. Years later, his now-grown younger brother Rohan embarks on a mission to bring Rahul back home and reunite the family."
47,Satyaprem Ki Katha,2023,"Comedy, Drama, Musical",7.2,"27,892","A middle-class boy in Ahmedabad, Satyaprem falling in one-sided love with Katha, who is coping with her breakup with Tapan. Through the journey, they discover each other's life and complement in accomplishing what was left halfway."
48,Singham Again,2024,Drama,NaN,NaN,Plot under wraps.
49,Chor Nikal Ke Bhaga,2023,"Crime, Drama, Thriller",7.5,"51,416","A flight attendant and her business partner on a mission to steal diamonds and free themselves from the clutches of a loan shark.At 40,000 feet in the air, the heist goes horribly wrong and turns into a hostage situation."
50,Andhadhun,2018,"Crime, Mystery, Thriller",8.2,"99,431
| Gross","A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of."
51,Rahasya,2015,"Mystery, Thriller",7.6,"5,158","A Doctor stands accused of killing his own eighteen-year old daughter. While this aggrieved father protests his innocence, all evidence points towards him irrefutably. While his own wife ...                See full summary »"
52,Sam Bahadur,2023,"Biography, Drama, War",NaN,NaN,"Based on the life of Sam Manekshaw who was the Chief of the Army Staff of the Indian Army during the Indo-Pakistani War of 1971, and the first Indian Army officer to be promoted to the rank of field marshal."
53,The Kashmir Files,2022,Drama,8.6,"571,870","A heart-wrenching tale that captures the pain, suffering, and struggle of the Kashmiri Pandit community in 1990 and leads Krishna, a young college student, to set out on a quest to uncover the truth."
54,Sukhee,2023,Drama,8.3,"6,109","Much to the dismay of her husband, a middle-class housewife, known for her rebellious attitude in high school, decides to attend her class reunion."
55,Drishyam,2015,"Crime, Drama, Mystery",8.2,"91,318
| Gross","Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime."
56,The Y,2023,"Horror, Mystery, Thriller",6.8,"2,584",The Female Protagonist is a Mute. After her marriage the couple enters a new chapter of their life but face another dilemma which they least expect. They experience paranormal incidents and their daily life turns into a mysterious tale.
57,My Name Is Khan,2010,"Adventure, Drama, Romance",7.9,"113,039
| Gross",An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.
58,Dunki,2023,"Comedy, Drama",NaN,NaN,The rampant use of an illegal backdoor route called 'Donkey Flight' by Indians to immigrate to countries like Canada and USA.
59,The Kerala Story,2023,Drama,7.2,"65,777","A converted Muslim woman Fatima Ba narrates her ordeal of how she once wanted to become a nurse but was abducted from her home and manipulated by religious vanguards, turned into an ISIS terrorist and landed in Afghanistan jail."
60,Asoka,2001,"Action, Biography, Drama",6.4,"14,889
| Gross",The epic tale of King Asoka's life is recounted.
61,Dhak Dhak,2023,Drama,7.2,79,"Four women, who set out for a road trip to the highest motorable pass in the world on their bikes on a journey of self-discovery."
62,Sirf Ek Bandaa Kaafi Hai,2023,"Crime, Drama, Thriller",7.9,"25,521",A common man with honesty and integrity can take on the system when he has truth on his side.
63,K.G.F: Chapter 2,2022,"Action, Crime, Drama",8.3,"143,692
| Gross","In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes. While his allies look up to him, the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy."
64,Neeyat,2023,"Crime, Mystery, Thriller",5.3,"4,155","When a mysterious murder takes place at exiled billionaire Ashish Kapoor's birthday getaway, detective Mira Rao must use all her skill to unravel devious motives as the suspects are Kapoor's close family and friends."
65,Dream Girl,III) (2019,"Comedy, Romance",7.0,"15,915","Rom-com Movie, directed by Raaj Shaandilyaa, stars Ayushmann Khurrana who plays a 'dream girl'. In every love story, there is always one trying to win the heart of the other, who could be the 'dream girl'."
66,Vikram Vedha,2022,"Action, Crime, Drama",7.1,"22,888",A tough police officer sets out to track down and kill an equally tough gangster.
67,Bajirao Mastani,2015,"Action, Drama, History",7.2,"37,713
| Gross","An account of the romance between the Maratha general, Baji Rao I and Mastani, princess of Bundelkhand."
68,Por Thozhil,2023,"Action, Crime, Thriller",8.0,"7,657",A bright but faint-hearted rookie cop has to overcome his fears in order to succeed in his first case which sees him partnered with a reclusive senior officer to catch a serial killer on the loose.
69,The White Tiger,2021,"Crime, Drama",7.1,"64,059",An ambitious Indian driver uses his wit and cunning to escape from poverty and rise to the top. An epic journey based on the New York Times bestseller.
70,Yeh Jawaani Hai Deewani,2013,"Comedy, Drama, Musical",7.2,"49,503
| Gross","Kabir and Naina bond during a trekking trip. Before Naina can express herself, Kabir leaves India to pursue his career. They meet again years later, but he still cherishes his dreams more than bonds."
71,Laal Singh Chaddha,2022,"Comedy, Drama, Romance",5.6,"176,841","The story of Laal Singh Chaddha, a simple man whose extraordinary journey will fill you with love, warmth and happiness."
72,Bride & Prejudice,2004,"Comedy, Drama, Musical",6.2,"21,472
| Gross","A modern adaptation of Jane Austen's classic novel, Pride and Prejudice, that features the lives of four unmarried daughters in an Indian family."
73,The Second Best Exotic Marigold Hotel,2015,"Comedy, Drama, Romance",6.5,"35,309
| Gross","As the Best Exotic Marigold Hotel has only a single remaining vacancy, posing a rooming predicament for two fresh arrivals, Sonny Kapoor (Dev Patel) pursues his expansionist dream of opening a second hotel."
74,'83,2021,"Biography, Drama, History",7.5,"39,856","On June 25, 1983, the Lord's Cricket Ground witnessed 14 men beat the two times World Champions West Indies, putting India back onto the cricket world stage."
